CountryCode,Region,Country,CountryArea,area_1m,area_2m,area_3m,area_4m,area_5m,percent_1m,percent_2m,percent_3m,percent_4m,percent_5m
ARG,Latin America / Caribbean,Argentina,2736391,9083,14331,20131,25362,30806,0.33,0.52,0.74,0.93,1.13
BHS,Latin America / Caribbean,Bahamas,13162,1523,2507,4080,6165,8146,11.57,19.05,31.00,46.84,61.89
BLZ,Latin America / Caribbean,Belize,22290,424,752,1089,1396,1703,1.90,3.37,4.89,6.26,7.64
BRA,Latin America / Caribbean,Brazil,8480395,11456,20673,34564,43970,51162,0.14,0.24,0.41,0.52,0.60
CHL,Latin America / Caribbean,Chile,721229,7266,9280,11249,12923,12923,1.01,1.29,1.56,1.79,1.79
COL,Latin America / Caribbean,Colombia,1141569,2405,3642,5335,7255,9124,0.21,0.32,0.47,0.64,0.80
CRI,Latin America / Caribbean,Costa Rica,51015,184,258,373,544,778,0.36,0.51,0.73,1.07,1.53
CUB,Latin America / Caribbean,Cuba,111199,1766,3215,5355,8163,11181,1.59,2.89,4.82,7.34,10.05
DOM,Latin America / Caribbean,Dominican Republic,48092,222,362,567,817,1092,0.46,0.75,1.18,1.70,2.27
ECU,Latin America / Caribbean,Ecuador,246700,922,1387,2026,2830,3753,0.37,0.56,0.82,1.15,1.52
SLV,Latin America / Caribbean,El Salvador,20279,70,94,139,221,344,0.35,0.46,0.69,1.09,1.70
GUF,Latin America / Caribbean,French Guiana,83634,266,373,522,749,1019,0.32,0.45,0.62,0.90,1.22
GTM,Latin America / Caribbean,Guatemala,108523,30,79,156,268,434,0.03,0.07,0.14,0.25,0.40
GUY,Latin America / Caribbean,Guyana,211156,964,1947,3183,4424,5456,0.46,0.92,1.51,2.10,2.58
HTI,Latin America / Caribbean,Haiti,26876,153,226,343,491,649,0.57,0.84,1.28,1.83,2.41
HND,Latin America / Caribbean,Honduras,112079,385,787,1492,2348,3199,0.34,0.70,1.33,2.09,2.85
JAM,Latin America / Caribbean,Jamaica,11060,147,206,285,377,462,1.33,1.86,2.58,3.41,4.18
MEX,Latin America / Caribbean,Mexico,1943018,19806,28219,37281,46555,55697,1.02,1.45,1.92,2.40,2.87
SUR,Latin America / Caribbean,Suriname,141133,1341,2243,3261,4335,5472,0.95,1.59,2.31,3.07,3.88
NIC,Latin America / Caribbean,Nicaragua,118279,788,1482,2464,3556,4598,0.67,1.25,2.08,3.01,3.89
PER,Latin America / Caribbean,Peru,1289475,2134,2703,3249,3771,4259,0.17,0.21,0.25,0.29,0.33
PAN,Latin America / Caribbean,Panama,74515,282,460,744,1096,1482,0.38,0.62,1.00,1.47,1.99
PRI,Latin America / Caribbean,Puerto Rico,8985,147,234,331,432,529,1.64,2.60,3.68,4.81,5.89
URY,Latin America / Caribbean,Uruguay,173985,1462,2248,2951,3639,4318,0.84,1.29,1.70,2.09,2.48
VEN,Latin America / Caribbean,Venezuela,911559,3962,6799,11040,15417,19209,0.43,0.75,1.21,1.69,2.11
DZA,Middle East / North Africa,Algeria,2302498,8412,8715,9020,9321,9620,0.37,0.38,0.39,0.40,0.42
EGY,Middle East / North Africa,Egypt,968071,6446,8907,11227,13376,15309,0.67,0.92,1.16,1.38,1.58
IRN,Middle East / North Africa,Iran,1590351,3184,5445,8241,11215,14135,0.20,0.34,0.52,0.71,0.89
KWT,Middle East / North Africa,Kuwait,17259,144,236,333,431,509,0.83,1.37,1.93,2.50,2.95
LBY,Middle East / North Africa,Libya,1611363,11048,11950,12803,13628,14445,0.69,0.74,0.79,0.85,0.90
MAR,Middle East / North Africa,Morocco,399559,1001,1165,1345,1532,1736,0.25,0.29,0.34,0.38,0.43
OMN,Middle East / North Africa,Oman,304190,806,1291,1801,2262,2660,0.26,0.42,0.59,0.74,0.87
QAT,Middle East / North Africa,Qatar,10973,296,545,856,1168,1454,2.70,4.97,7.80,10.64,13.25
SAU,Middle East / North Africa,Saudi Arabia,1938837,2822,4199,5636,7031,8377,0.15,0.22,0.29,0.36,0.43
ARE,Middle East / North Africa,United Arab Emirates,74777,713,1116,1654,2360,3129,0.95,1.49,2.21,3.16,4.18
TUN,Middle East / North Africa,Tunisia,147882,1602,2026,2412,2754,3074,1.08,1.37,1.63,1.86,2.08
ESH,Middle East / North Africa,Western Sahara,269600,761,979,1180,1362,1535,0.28,0.36,0.44,0.51,0.57
