CountryCode,Region,Country,MapName,CountryArea,area_1m,area_2m,area_3m,area_4m,area_5m,percent_1m,percent_2m,percent_3m,percent_4m,percent_5m,Population,pop_1m,pop_2m,pop_3m,pop_4m,pop_5m,pop_percent_1m,pop_percent_2m,pop_percent_3m,pop_percent_4m,pop_percent_5m,pop_density_1m,pop_density_2m,pop_density_3m,pop_density_4m,pop_density_5m
ARG,Latin America / Caribbean,Argentina,w100s10,2736391,9083,14331,20131,25362,30806,0.33,0.52,0.74,0.93,1.13,37032000,199601,425596,664630,944211,1271972,0.54,1.15,1.79,2.55,3.43,21.97522845,29.69757868,33.01525011,37.22935888,41.28974875
BHS,Latin America / Caribbean,Bahamas,w100n40,13162,1523,2507,4080,6165,8146,11.57,19.05,31,46.84,61.89,304000,13869,20616,32069,54722,89742,4.56,6.78,10.55,18,29.52,9.106369009,8.223374551,7.86004902,8.876236821,11.01669531
BLZ,Latin America / Caribbean,Belize,w100n40,22290,424,752,1089,1396,1703,1.9,3.37,4.89,6.26,7.64,226000,5532,15438,23050,33676,42693,2.45,6.83,10.2,14.9,18.89,13.04716981,20.52925532,21.16620753,24.12320917,25.06928949
BRA,Latin America / Caribbean,Brazil,w060n40,8480395,11456,20673,34564,43970,51162,0.14,0.24,0.41,0.52,0.6,170406000,1026618,1710273,2692247,3969403,5296660,0.6,1,1.58,2.33,3.11,89.6140014,82.72979248,77.89165027,90.27525586,103.5272272
CHL,Latin America / Caribbean,Chile,w100s10,721229,7266,9280,11249,12923,12923,1.01,1.29,1.56,1.79,1.79,15211000,39615,49111,59526,71714,71714,0.26,0.32,0.39,0.47,0.47,5.452105698,5.292133621,5.291670371,5.549330651,5.549330651
COL,Latin America / Caribbean,Colombia,w100n40,1141569,2405,3642,5335,7255,9124,0.21,0.32,0.47,0.64,0.8,42105000,142888,252587,385963,522346,650853,0.34,0.6,0.92,1.24,1.55,59.41288981,69.35392641,72.34545455,71.9980703,71.33417361
CRI,Latin America / Caribbean,Costa Rica,w100n40,51015,184,258,373,544,778,0.36,0.51,0.73,1.07,1.53,4024000,5152,7696,14387,23440,43917,0.13,0.19,0.36,0.58,1.09,28,29.82945736,38.57104558,43.08823529,56.44858612
CUB,Latin America / Caribbean,Cuba,w100n40,111199,1766,3215,5355,8163,11181,1.59,2.89,4.82,7.34,10.05,11199000,77460,122735,181608,294205,427107,0.69,1.1,1.62,2.63,3.81,43.86183465,38.17573872,33.91372549,36.04128384,38.19935605
DOM,Latin America / Caribbean,Dominican Republic,w100n40,48092,222,362,567,817,1092,0.46,0.75,1.18,1.7,2.27,8373000,27631,60868,91215,133827,189017,0.33,0.73,1.09,1.6,2.26,124.463964,168.1436464,160.8730159,163.8029376,173.0924908
ECU,Latin America / Caribbean,Ecuador,w100n40,246700,922,1387,2026,2830,3753,0.37,0.56,0.82,1.15,1.52,12646000,137539,229772,327299,483380,660611,1.09,1.82,2.59,3.82,5.22,149.1746204,165.6611391,161.5493583,170.8056537,176.0221156
SLV,Latin America / Caribbean,El Salvador,w100n40,20279,70,94,139,221,344,0.35,0.46,0.69,1.09,1.7,6278000,9920,14940,23550,36612,56534,0.16,0.24,0.38,0.58,0.9,141.7142857,158.9361702,169.4244604,165.6651584,164.3430233
FRA,Latin America / Caribbean,French Guiana,w060n40,83634,266,373,522,749,1019,0.32,0.45,0.62,0.9,1.22,165000,8940,10041,11796,16764,24304,5.42,6.09,7.15,10.16,14.73,33.60902256,26.91957105,22.59770115,22.38184246,23.85083415
